PT Sembodo Rental Indonesia,,,,
Sales by Customer,,,,
01/07/2025 - 05/11/2025,,,,
(in IDR),,,,
,,,,
Customer / Date,No,Product,Description,Qty
168 Premium Car,,,,
16/07/2025,11354,Toyota Alphard G - B 1439 DYA,Sewa Lepaskunci Harian tanggal 18 Juli 2025,1
01/08/2025,11458,Toyota Alphard - B 1439 DYA,Sewa lepas kunci tanggal 28-29 Juli 2025,2
05/09/2025,11741,Toyota Alphard G  - B 202 MOR,Sewa lepas kunci tanggal 6 September 2025,1
05/09/2025,11986,Toyota Alphard G  - B 202 MOR,Sewa kendaraan lepas kunci Harian tanggal 06 September 2025,1
,,,,
Alphardme Rentcar,,,,
21/07/2025,11353,Mercedes Benz E250 - B 2051,Sewa mobil lepas Kunci harian Tanggal 19-20 juli 2025,2
,,,,
Arsus Yellow Rent Car,,,,
15/10/2025,11928,Toyota Innova Zenix Q Hybrid - B 1184 DZR,Sewa Kendaraan Lepas Kunci Harian Tanggal 23 September 2025,1
,,,,
ASSA RENT,,,,
20/10/2025,11937,Elf 19 Seat,Sewa kendaraan dengan pengemudi dalam kota Jakarta tanggal 21 Oktober 2025,1
21/10/2025,11987,Biaya Lainnya,Biaya Akomodasi Driver dan Kendaraan Tanggal 21 Oktober 2025,1
04/11/2025,12038,Big Bus,40 Seat - Sewa kendaraan dengan pengemudi Fullday luar kota  Kab. Tangerang - Subang tanggal 6 November 2025,1
,,,,
Badan Pelatihan Ilmu Pelayaran,,,,
02/09/2025,11702,Mercedes Benz E300 - B 2052,Sewa Kendaraan Lepas Kunci Harian Tanggal 13 September 2025,1
02/09/2025,11702,Biaya Lainnya,Dekorasi Bunga ,1
02/09/2025,11702,Biaya Antar Jemput Kendaraan,Antar Jemput Unit ,1
,,,,
Badan Pengembangan Sumber Daya Manusia Dan Pemberdayaan Masyarakat Desa Dan Daerah Tertinggal Badan Pengembangan SDM Dan Pemberdayaan Masyarakat Desa Dan Daerah Tertinggal Kementerian Desa Dan Pembangunan Daerah Tertinggal,,,,
30/09/2025,11892,Mitsubishi Xpander Ultimate,sewa tanpa pengemudi bulan Juli - September 2025,3
30/09/2025,11892,Mitsubishi Xpander Ultimate,sewa tanpa pengemudi bulan Juli - September 2025,3
,,,,
Badan Penyuluhan dan Pengembangan Sumber Daya,,,,
31/07/2025,11536,Toyota Innova Zenix,Sewa tanpa pengemudi bulan Juli 2025,1
31/07/2025,11536,Toyota Innova Zenix,Sewa tanpa pengemudi bulan Juli 2025,1
31/07/2025,11536,Toyota Innova Zenix,Sewa tanpa pengemudi bulan Juli 2025,1
18/08/2025,11537,Toyota Innova Zenix,Sewa tanpa pengemudi bulan Agustus 2025,1
18/08/2025,11537,Toyota Innova Zenix,Sewa tanpa pengemudi bulan Agustus 2025,1
18/08/2025,11537,Toyota Innova Zenix,Sewa tanpa pengemudi bulan Agustus 2025,1
18/08/2025,11822,Toyota Innova Zenix,Sewa tanpa pengemudi bulan Agustus ,1
08/09/2025,11823,Toyota Innova Zenix,Sewa tanpa pengemudi bulan September 2025,1
08/09/2025,11823,Toyota Innova Zenix,Sewa tanpa pengemudi bulan September 2025,1
08/09/2025,11823,Toyota Innova Zenix,Sewa tanpa pengemudi bulan September 2025,1
08/09/2025,11824,Toyota Innova Zenix,Sewa tanpa pengemudi bulan Oktober 2025,1
08/09/2025,11824,Toyota Innova Zenix,Sewa tanpa pengemudi bulan Oktober 2025,1
08/09/2025,11824,Toyota Innova Zenix,Sewa tanpa pengemudi bulan Oktober 2025,1
,,,,
Bapak Rifki,,,,
27/07/2025,11387,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi tanggal 27 Juli 2025 ,1
28/07/2025,11388,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi tanggal 28 Juli 2025 ,1
29/07/2025,11393,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi tanggal 29 Juli 2025 ,1
30/07/2025,11394,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi tanggal 30 Juli 2025 ,1
31/07/2025,11395,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi tanggal 31 Juli 2025 ,1
03/08/2025,11423,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi tanggal 01 Agustus 2025 ,1
03/08/2025,11424,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi tanggal 02 Agustus 2025 ,1
03/08/2025,11448,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi tanggal 03 Agustus 2025 ,1
04/08/2025,11449,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi tanggal 04 Agustus 2025 ,1
05/08/2025,11450,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi tanggal 05 Agustus 2025 ,1
06/08/2025,11451,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi tanggal 06 Agustus 2025 ,1
07/08/2025,11456,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi tanggal 07 Agustus 2025 ,1
08/08/2025,11457,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi tanggal 08 Agustus 2025 ,1
